absT V_n V_R_n V_C_n
0,880 175,111 6,236 175,000
0,890 175,114 6,307 175,000
0,900 175,116 6,379 175,000
0,910 175,119 6,450 175,000
0,920 175,121 6,522 175,000
0,930 175,124 6,593 175,000
0,940 175,127 6,665 175,000
0,950 175,130 6,736 175,000
0,960 175,132 6,808 175,000
0,970 175,135 6,880 175,000
0,980 175,138 6,951 175,000
0,990 175,141 7,023 175,000
1,000 175,144 7,095 175,000
1,010 175,147 7,166 175,000
1,020 175,150 7,238 175,000
1,030 175,153 7,310 175,000
1,040 175,156 7,381 175,000
1,050 175,159 7,453 175,000
1,060 175,162 7,525 175,000
1,070 175,165 7,596 175,000
1,080 175,168 7,668 175,000
1,090 175,171 7,740 175,000
1,100 175,174 7,812 175,000
1,110 175,177 7,884 175,000
1,120 175,181 7,955 175,000
1,130 175,184 8,027 175,000
1,140 175,187 8,099 175,000
1,150 175,191 8,171 175,000
1,160 175,194 8,243 175,000
1,170 175,197 8,315 175,000
1,180 175,201 8,387 175,000
1,190 175,204 8,458 175,000
1,200 175,208 8,530 175,000
1,210 175,211 8,602 175,000
1,220 175,215 8,674 175,000
1,230 175,218 8,746 175,000
1,240 175,222 8,818 175,000
1,250 175,226 8,890 175,000
1,260 175,229 8,962 175,000
1,270 175,233 9,034 175,000
1,280 175,237 9,106 175,000
1,290 175,241 9,178 175,000
1,300 175,244 9,250 175,000
1,310 175,248 9,322 175,000
1,320 175,252 9,395 175,000
1,330 175,256 9,467 175,000
1,340 175,260 9,539 175,000
1,350 175,264 9,611 175,000
1,360 175,268 9,683 175,000
1,370 175,272 9,755 175,000
1,380 175,276 9,827 175,000
1,390 175,280 9,900 175,000
1,400 175,284 9,972 175,000
1,410 175,288 10,044 175,000
1,420 175,292 10,116 175,000
1,430 175,296 10,188 175,000
1,440 175,301 10,261 175,000
1,450 175,305 10,333 175,000
1,460 175,309 10,405 175,000
1,470 175,313 10,478 175,000
1,480 175,318 10,550 175,000
1,490 175,322 10,622 175,000
1,500 175,326 10,695 175,000
1,510 175,331 10,767 175,000
1,520 175,335 10,839 175,000
1,530 175,340 10,912 175,000
1,540 175,344 10,984 175,000
1,550 175,349 11,057 175,000
1,560 175,354 11,129 175,000
1,570 175,358 11,201 175,000
1,580 175,363 11,274 175,000
1,590 175,367 11,346 175,000
1,600 175,372 11,419 175,000
1,610 175,377 11,491 175,000
1,620 175,382 11,564 175,000
1,630 175,386 11,636 175,000
1,640 175,391 11,709 175,000
1,650 175,396 11,781 175,000
1,660 175,401 11,854 175,000
1,670 175,406 11,927 175,000
1,680 175,411 11,999 175,000
1,690 175,416 12,072 175,000
1,700 175,421 12,144 175,000
1,710 175,426 12,217 175,000
1,720 175,431 12,290 175,000
1,730 175,436 12,362 175,000
